method,file_name,true_label,predicted_label,rule_pred,nlp_pred,final_severity,label_from_structural,label_from_regex,parse_error
rule_based,kubernetes-native-testbed__manifests_cicd_ci-manifests_ci.yaml,hardcoded_secret,secure,secure,hardcoded_secret,NONE,secure,secure,
rule_based,kubernetes-native-testbed__manifests_infra_tekton_tekton-pipeline.yaml,hardcoded_secret,secure,secure,hardcoded_secret,NONE,secure,secure,
rule_based,kubernetes-native-testbed__manifests_system_redirect-to-cluster-dns-scripts.yaml,privilege_exposure,secure,secure,secure,NONE,secure,secure,
rule_based,prometheus-operator__example_prometheus-operator-crd-full_monitoring.coreos.com_alertmanagers.yaml,privilege_exposure,hardcoded_secret,hardcoded_secret,privilege_exposure,MEDIUM,secure,hardcoded_secret,
rule_based,prometheus-operator__example_prometheus-operator-crd-full_monitoring.coreos.com_probes.yaml,hardcoded_secret,secure,secure,hardcoded_secret,NONE,secure,secure,
rule_based,prometheus-operator__example_prometheus-operator-crd-full_monitoring.coreos.com_prometheuses.yaml,privilege_exposure,hardcoded_secret,hardcoded_secret,privilege_exposure,MEDIUM,secure,hardcoded_secret,
rule_based,prometheus-operator__example_prometheus-operator-crd_monitoring.coreos.com_alertmanagers.yaml,privilege_exposure,hardcoded_secret,hardcoded_secret,privilege_exposure,MEDIUM,secure,hardcoded_secret,
rule_based,prometheus-operator__example_prometheus-operator-crd_monitoring.coreos.com_scrapeconfigs.yaml,hardcoded_secret,secure,secure,hardcoded_secret,NONE,secure,secure,
rule_based,prometheus-operator__example_rbac_prometheus-operator_prometheus-operator-deployment.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
nlp,argo-cd__docs_operator-manual_application.yaml,hardcoded_secret,secure,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
nlp,argo-cd__docs_operator-manual_argocd-cmd-params-cm.yaml,secure,hardcoded_secret,hardcoded_secret,hardcoded_secret,MEDIUM,secure,hardcoded_secret,
nlp,argo-cd__gitops-engine_pkg_health_testdata_svc-clusterip.yaml,hardcoded_secret,secure,secure,secure,NONE,secure,secure,
nlp,argo-cd__manifests_crds_applicationset-crd.yaml,secure,hardcoded_secret,secure,hardcoded_secret,NONE,secure,secure,
nlp,argo-cd__resource_customizations_astra.netapp.io_Backup_testdata_progressing_status.yaml,hardcoded_secret,secure,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
nlp,argo-cd__resource_customizations_astra.netapp.io_Snapshot_testdata_degraded.yaml,hardcoded_secret,secure,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
nlp,argo-cd__resource_customizations_astra.netapp.io_Snapshot_testdata_progressing_status.yaml,hardcoded_secret,secure,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
nlp,argo-cd__resource_customizations_db.atlasgo.io_AtlasMigration_testdata_degraded.yaml,secure,hardcoded_secret,secure,hardcoded_secret,NONE,secure,secure,
nlp,argo-cd__resource_customizations_grafana.integreatly.org_GrafanaDashboard_testdata_degraded.yaml,secure,hardcoded_secret,secure,hardcoded_secret,NONE,secure,secure,
nlp,argo-cd__resource_customizations_grafana.integreatly.org_GrafanaFolder_testdata_progressing.yaml,secure,hardcoded_secret,secure,hardcoded_secret,NONE,secure,secure,
nlp,argo-cd__resource_customizations_promoter.argoproj.io_ChangeTransferPolicy_testdata_missing-sha-and-not-ready.yaml,hardcoded_secret,secure,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
nlp,argo-cd__resource_customizations_promoter.argoproj.io_ChangeTransferPolicy_testdata_non-successful-environments.yaml,hardcoded_secret,secure,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
nlp,charts__bitnami_argo-cd_crds_applicationset.yaml,secure,hardcoded_secret,secure,hardcoded_secret,NONE,secure,secure,
nlp,charts__bitnami_grafana-operator_crds_grafana.integreatly.org_grafanas.yaml,privilege_exposure,hardcoded_secret,secure,hardcoded_secret,NONE,secure,secure,
nlp,charts__bitnami_pinniped_crds_supervisor_config.supervisor.pinniped.dev_federationdomains.yaml,hardcoded_secret,secure,secure,secure,NONE,secure,secure,
nlp,charts__bitnami_pinniped_crds_supervisor_idp.supervisor.pinniped.dev_githubidentityproviders.yaml,hardcoded_secret,secure,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
nlp,cloud-on-k8s__config_recipes_autopilot_metricbeat_hosts.yaml,secure,privilege_exposure,hardcoded_secret,privilege_exposure,MEDIUM,secure,hardcoded_secret,
nlp,cloud-on-k8s__config_recipes_mtls_manual_beats.yaml,privilege_exposure,hardcoded_secret,privilege_exposure,hardcoded_secret,MEDIUM,secure,privilege_exposure,
nlp,cloud-on-k8s__config_recipes_remoteclusters_elasticsearch.yaml,hardcoded_secret,secure,secure,secure,NONE,secure,secure,
nlp,examples___archived_persistent-volume-provisioning_glusterfs_glusterfs-secret.yaml,secure,hardcoded_secret,secure,hardcoded_secret,NONE,secure,secure,
nlp,k8s-monitoring-helm__charts_k8s-monitoring_docs_examples_deployment-alternatives_argocd_k8s-monitoring-application.yaml,hardcoded_secret,secure,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
nlp,k8s-monitoring-helm__charts_k8s-monitoring_docs_examples_features_pod-logs-via-loki_default_output.yaml,secure,hardcoded_secret,hardcoded_secret,hardcoded_secret,MEDIUM,secure,hardcoded_secret,
nlp,kubernetes-native-testbed__manifests_infra_instances_http-proxy.yaml,hardcoded_secret,secure,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
nlp,kubernetes-native-testbed__manifests_infra_minio-operator_minioinstance.yaml,hardcoded_secret,secure,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
nlp,kubernetes-native-testbed__manifests_system_redirect-to-cluster-dns-scripts.yaml,privilege_exposure,secure,secure,secure,NONE,secure,secure,
hybrid_rule_first,argo-cd__docs_operator-manual_argocd-cmd-params-cm.yaml,secure,hardcoded_secret,hardcoded_secret,hardcoded_secret,MEDIUM,secure,hardcoded_secret,
hybrid_rule_first,argo-cd__gitops-engine_pkg_health_testdata_svc-clusterip.yaml,hardcoded_secret,secure,secure,secure,NONE,secure,secure,
hybrid_rule_first,argo-cd__manifests_crds_applicationset-crd.yaml,secure,hardcoded_secret,secure,hardcoded_secret,NONE,secure,secure,
hybrid_rule_first,argo-cd__resource_customizations_core.humio.com_HumioIngestToken_testdata_configerror.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
hybrid_rule_first,argo-cd__resource_customizations_core.humio.com_HumioIngestToken_testdata_unknown.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
hybrid_rule_first,argo-cd__resource_customizations_db.atlasgo.io_AtlasMigration_testdata_degraded.yaml,secure,hardcoded_secret,secure,hardcoded_secret,NONE,secure,secure,
hybrid_rule_first,argo-cd__resource_customizations_external-secrets.io_ClusterExternalSecret_testdata_notready.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
hybrid_rule_first,argo-cd__resource_customizations_external-secrets.io_ClusterExternalSecret_testdata_progressing.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
hybrid_rule_first,argo-cd__resource_customizations_external-secrets.io_ExternalSecret_testdata_progressing.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
hybrid_rule_first,argo-cd__resource_customizations_grafana.integreatly.org_GrafanaDashboard_testdata_degraded.yaml,secure,hardcoded_secret,secure,hardcoded_secret,NONE,secure,secure,
hybrid_rule_first,argo-cd__resource_customizations_grafana.integreatly.org_GrafanaFolder_testdata_progressing.yaml,secure,hardcoded_secret,secure,hardcoded_secret,NONE,secure,secure,
hybrid_rule_first,argo-cd__resource_customizations_k8s.keycloak.org_Keycloak_testdata_degraded.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
hybrid_rule_first,argo-cd__resource_customizations_k8s.keycloak.org_Keycloak_testdata_provisioning.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
hybrid_rule_first,argo-cd__resource_customizations_kafka.strimzi.io_KafkaUser_testdata_healthy.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
hybrid_rule_first,argo-cd__resource_customizations_tower.ansible.com_AnsibleJob_testdata_degraded_error.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
hybrid_rule_first,argo-cd__resource_customizations_tower.ansible.com_AnsibleJob_testdata_progressing_running.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
hybrid_rule_first,argo-cd__test_manifests_cmp_repo-patch.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
hybrid_rule_first,charts__bitnami_argo-cd_crds_applicationset.yaml,secure,hardcoded_secret,secure,hardcoded_secret,NONE,secure,secure,
hybrid_rule_first,charts__bitnami_grafana-operator_crds_grafana.integreatly.org_grafanas.yaml,privilege_exposure,hardcoded_secret,secure,hardcoded_secret,NONE,secure,secure,
hybrid_rule_first,charts__bitnami_pinniped_crds_supervisor_config.supervisor.pinniped.dev_federationdomains.yaml,hardcoded_secret,secure,secure,secure,NONE,secure,secure,
hybrid_rule_first,cloud-on-k8s__config_crds_v1_resources_elasticsearch.k8s.elastic.co_elasticsearches.yaml,privilege_exposure,hardcoded_secret,hardcoded_secret,privilege_exposure,MEDIUM,secure,hardcoded_secret,
hybrid_rule_first,cloud-on-k8s__config_recipes_autopilot_metricbeat_hosts.yaml,secure,hardcoded_secret,hardcoded_secret,privilege_exposure,MEDIUM,secure,hardcoded_secret,
hybrid_rule_first,cloud-on-k8s__config_recipes_elastic-agent_fleet-custom-logs-integration.yaml,privilege_exposure,hardcoded_secret,hardcoded_secret,privilege_exposure,MEDIUM,secure,hardcoded_secret,
hybrid_rule_first,cloud-on-k8s__config_recipes_logstash_logstash-eck.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
hybrid_rule_first,cloud-on-k8s__config_recipes_packageregistry_epr-eck.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
hybrid_rule_first,cloud-on-k8s__config_recipes_packageregistry_epr-volumes.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
hybrid_rule_first,cloud-on-k8s__config_recipes_remoteclusters_elasticsearch.yaml,hardcoded_secret,secure,secure,secure,NONE,secure,secure,
hybrid_rule_first,examples___archived_persistent-volume-provisioning_glusterfs_glusterfs-secret.yaml,secure,hardcoded_secret,secure,hardcoded_secret,NONE,secure,secure,
hybrid_rule_first,helm-charts__charts_kube-prometheus-stack_charts_crds_crds_crd-prometheuses.yaml,privilege_exposure,hardcoded_secret,hardcoded_secret,privilege_exposure,MEDIUM,secure,hardcoded_secret,
hybrid_rule_first,k8s-monitoring-helm__charts_k8s-monitoring_docs_examples_destinations_custom_debug_test_test-plan.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
hybrid_rule_first,k8s-monitoring-helm__charts_k8s-monitoring_docs_examples_features_pod-logs-via-loki_default_output.yaml,secure,hardcoded_secret,hardcoded_secret,hardcoded_secret,MEDIUM,secure,hardcoded_secret,
hybrid_rule_first,k8s-monitoring-helm__charts_k8s-monitoring_tests_integration_service-integrations_grafana_test-plan.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
hybrid_rule_first,kubernetes-native-testbed__manifests_system_redirect-to-cluster-dns-scripts.yaml,privilege_exposure,secure,secure,secure,NONE,secure,secure,
hybrid_rule_first,prometheus-operator__example_prometheus-operator-crd-full_monitoring.coreos.com_alertmanagers.yaml,privilege_exposure,hardcoded_secret,hardcoded_secret,privilege_exposure,MEDIUM,secure,hardcoded_secret,
hybrid_rule_first,prometheus-operator__example_prometheus-operator-crd-full_monitoring.coreos.com_prometheuses.yaml,privilege_exposure,hardcoded_secret,hardcoded_secret,privilege_exposure,MEDIUM,secure,hardcoded_secret,
hybrid_rule_first,prometheus-operator__example_prometheus-operator-crd_monitoring.coreos.com_alertmanagers.yaml,privilege_exposure,hardcoded_secret,hardcoded_secret,privilege_exposure,MEDIUM,secure,hardcoded_secret,
hybrid_rule_first,prometheus-operator__example_rbac_prometheus-operator_prometheus-operator-deployment.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
hybrid_privilege_override,argo-cd__docs_operator-manual_application.yaml,hardcoded_secret,secure,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
hybrid_privilege_override,argo-cd__docs_operator-manual_argocd-cmd-params-cm.yaml,secure,hardcoded_secret,hardcoded_secret,hardcoded_secret,MEDIUM,secure,hardcoded_secret,
hybrid_privilege_override,argo-cd__gitops-engine_pkg_health_testdata_svc-clusterip.yaml,hardcoded_secret,secure,secure,secure,NONE,secure,secure,
hybrid_privilege_override,argo-cd__manifests_crds_applicationset-crd.yaml,secure,hardcoded_secret,secure,hardcoded_secret,NONE,secure,secure,
hybrid_privilege_override,argo-cd__resource_customizations_astra.netapp.io_Backup_testdata_progressing_status.yaml,hardcoded_secret,secure,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
hybrid_privilege_override,argo-cd__resource_customizations_astra.netapp.io_Snapshot_testdata_degraded.yaml,hardcoded_secret,secure,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
hybrid_privilege_override,argo-cd__resource_customizations_astra.netapp.io_Snapshot_testdata_progressing_status.yaml,hardcoded_secret,secure,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
hybrid_privilege_override,argo-cd__resource_customizations_db.atlasgo.io_AtlasMigration_testdata_degraded.yaml,secure,hardcoded_secret,secure,hardcoded_secret,NONE,secure,secure,
hybrid_privilege_override,argo-cd__resource_customizations_grafana.integreatly.org_GrafanaDashboard_testdata_degraded.yaml,secure,hardcoded_secret,secure,hardcoded_secret,NONE,secure,secure,
hybrid_privilege_override,argo-cd__resource_customizations_grafana.integreatly.org_GrafanaFolder_testdata_progressing.yaml,secure,hardcoded_secret,secure,hardcoded_secret,NONE,secure,secure,
hybrid_privilege_override,argo-cd__resource_customizations_promoter.argoproj.io_ChangeTransferPolicy_testdata_missing-sha-and-not-ready.yaml,hardcoded_secret,secure,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
hybrid_privilege_override,argo-cd__resource_customizations_promoter.argoproj.io_ChangeTransferPolicy_testdata_non-successful-environments.yaml,hardcoded_secret,secure,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
hybrid_privilege_override,charts__bitnami_argo-cd_crds_applicationset.yaml,secure,hardcoded_secret,secure,hardcoded_secret,NONE,secure,secure,
hybrid_privilege_override,charts__bitnami_grafana-operator_crds_grafana.integreatly.org_grafanas.yaml,privilege_exposure,hardcoded_secret,secure,hardcoded_secret,NONE,secure,secure,
hybrid_privilege_override,charts__bitnami_pinniped_crds_supervisor_config.supervisor.pinniped.dev_federationdomains.yaml,hardcoded_secret,secure,secure,secure,NONE,secure,secure,
hybrid_privilege_override,charts__bitnami_pinniped_crds_supervisor_idp.supervisor.pinniped.dev_githubidentityproviders.yaml,hardcoded_secret,secure,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
hybrid_privilege_override,cloud-on-k8s__config_recipes_autopilot_metricbeat_hosts.yaml,secure,privilege_exposure,hardcoded_secret,privilege_exposure,MEDIUM,secure,hardcoded_secret,
hybrid_privilege_override,cloud-on-k8s__config_recipes_remoteclusters_elasticsearch.yaml,hardcoded_secret,secure,secure,secure,NONE,secure,secure,
hybrid_privilege_override,examples___archived_persistent-volume-provisioning_glusterfs_glusterfs-secret.yaml,secure,hardcoded_secret,secure,hardcoded_secret,NONE,secure,secure,
hybrid_privilege_override,k8s-monitoring-helm__charts_k8s-monitoring_docs_examples_deployment-alternatives_argocd_k8s-monitoring-application.yaml,hardcoded_secret,secure,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
hybrid_privilege_override,k8s-monitoring-helm__charts_k8s-monitoring_docs_examples_features_pod-logs-via-loki_default_output.yaml,secure,hardcoded_secret,hardcoded_secret,hardcoded_secret,MEDIUM,secure,hardcoded_secret,
hybrid_privilege_override,kubernetes-native-testbed__manifests_infra_instances_http-proxy.yaml,hardcoded_secret,secure,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
hybrid_privilege_override,kubernetes-native-testbed__manifests_infra_minio-operator_minioinstance.yaml,hardcoded_secret,secure,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
hybrid_privilege_override,kubernetes-native-testbed__manifests_system_redirect-to-cluster-dns-scripts.yaml,privilege_exposure,secure,secure,secure,NONE,secure,secure,
